Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   1250.30     0.00   110100     0.00     0.00  bas_cn2uce_
  0.00   1250.30     0.00   107800     0.00     0.00  int_2e4c_price_
  0.00   1250.30     0.00    60947     0.00     0.00  nxtask_
  0.00   1250.30     0.00    60477     0.00     0.00  fock_rep_txs_
  0.00   1250.30     0.00    60477     0.00     0.00  intb_mem_2e4c_
  0.00   1250.30     0.00    60035     0.00     0.00  hf3ois_
  0.00   1250.30     0.00    60001     0.00     0.00  geom_any_finuc_
  0.00   1250.30     0.00    60000     0.00     0.00  cando_hnd_1e_
  0.00   1250.30     0.00    60000     0.00     0.00  cando_nw_1e_
  0.00   1250.30     0.00    60000     0.00     0.00  int_nint_
  0.00   1250.30     0.00    60000     0.00     0.00  spcart_3ctran_
  0.00   1250.30     0.00    40000     0.00     0.00  int_nogencont_check_
  0.00   1250.30     0.00    40000     0.00     0.00  int_nospshell_check_
  0.00   1250.30     0.00    39645     0.00     0.00  inp_strlen_
  0.00   1250.30     0.00    30000     0.00     0.00  hnd_stvint_
  0.00   1250.30     0.00    30000     0.00     0.00  int_1estv_
  0.00   1250.30     0.00    20002     0.00     0.00  defnxyz_
  0.00   1250.30     0.00    18216     0.00     0.00  inp_compare_
  0.00   1250.30     0.00    10000     0.00     0.00  int_1eke_
  0.00   1250.30     0.00    10000     0.00     0.00  int_1eov_
  0.00   1250.30     0.00    10000     0.00     0.00  int_1epe_
  0.00   1250.30     0.00     7695     0.00     0.00  datum_free
  0.00   1250.30     0.00     6093     0.00     0.00  hdbm_free
  0.00   1250.30     0.00     5308     0.00     0.00  hdbm_check
  0.00   1250.30     0.00     5284     0.00     0.00  datum_duplicate
  0.00   1250.30     0.00     5260     0.00     0.00  comp4_insert_
  0.00   1250.30     0.00     4916     0.00     0.00  hdbm_malloc
  0.00   1250.30     0.00     3572     0.00     0.00  hash
  0.00   1250.30     0.00     2443     0.00     0.00  hdbm_fseek
  0.00   1250.30     0.00     2410     0.00     0.00  search
  0.00   1250.30     0.00     2232     0.00     0.00  mxpara_
  0.00   1250.30     0.00     2143     0.00     0.00  hdbm_fwrite
  0.00   1250.30     0.00     1798     0.00     0.00  hdbm_next_key
  0.00   1250.30     0.00     1519     0.00     0.00  mxnprc_
  0.00   1250.30     0.00     1472     0.00     0.00  geom_check_cent_
  0.00   1250.30     0.00     1435     0.00     0.00  bbcast00
  0.00   1250.30     0.00     1435     0.00     0.00  mxbrod_
  0.00   1250.30     0.00     1417     0.00     0.00  mxmynd_
  0.00   1250.30     0.00     1393     0.00     0.00  hdbm_delete
  0.00   1250.30     0.00     1260     0.00     0.00  sswrit_
  0.00   1250.30     0.00     1260     0.00     0.00  swrite_
  0.00   1250.30     0.00     1256     0.00     0.00  datum_fread
  0.00   1250.30     0.00     1212     0.00     0.00  geom_cent_get_
  0.00   1250.30     0.00     1200     0.00     0.00  dscat_arr_
  0.00   1250.30     0.00     1162     0.00     0.00  NewEntry
  0.00   1250.30     0.00     1162     0.00     0.00  put_in_bin
  0.00   1250.30     0.00     1133     0.00     0.00  check_handle
  0.00   1250.30     0.00     1067     0.00     0.00  datum_wrap
  0.00   1250.30     0.00     1064     0.00     0.00  inp_match_
  0.00   1250.30     0.00     1038     0.00     0.00  inp_lcase_
  0.00   1250.30     0.00     1033     0.00     0.00  geom_tag_to_element_
  0.00   1250.30     0.00     1017     0.00     0.00  hdbm_read
  0.00   1250.30     0.00      930     0.00     0.00  geom_calc_distance_
  0.00   1250.30     0.00      837     0.00     0.00  count_list
  0.00   1250.30     0.00      795     0.00     0.00  mxcombv1_
  0.00   1250.30     0.00      760     0.00     0.00  gsum00
  0.00   1250.30     0.00      750     0.00     0.00  geom_get_def_rcov_
  0.00   1250.30     0.00      720     0.00     0.00  fil_dbl_lst
  0.00   1250.30     0.00      719     0.00     0.00  rtdb_broadcast
  0.00   1250.30     0.00      706     0.00     0.00  hdbm_insert
  0.00   1250.30     0.00      706     0.00     0.00  write_file_entry
  0.00   1250.30     0.00      657     0.00     0.00  mgs_3
  0.00   1250.30     0.00      657     0.00     0.00  reduce_list4
  0.00   1250.30     0.00      627     0.00     0.00  verify_parallel_access
  0.00   1250.30     0.00      600     0.00     0.00  pow_multi_
  0.00   1250.30     0.00      581     0.00     0.00  fortchar_to_string
  0.00   1250.30     0.00      542     0.00     0.00  util_gnxtval_
  0.00   1250.30     0.00      495     0.00     0.00  inv_it3
  0.00   1250.30     0.00      394     0.00     0.00  rtdb_seq_get_info
  0.00   1250.30     0.00      380     0.00     0.00  rtdb_get
  0.00   1250.30     0.00      380     0.00     0.00  rtdb_seq_get
  0.00   1250.30     0.00      334     0.00     0.00  rtdb_get_
  0.00   1250.30     0.00      329     0.00     0.00  MD5_memcpy
  0.00   1250.30     0.00      290     0.00     0.00  inp_strtok_
  0.00   1250.30     0.00      276     0.00     0.00  clustr_check
  0.00   1250.30     0.00      260     0.00     0.00  geom_cent_tag_
  0.00   1250.30     0.00      257     0.00     0.00  bas_numbf_
  0.00   1250.30     0.00      250     0.00     0.00  hdbm_replace
  0.00   1250.30     0.00      238     0.00     0.00  MD5Update
  0.00   1250.30     0.00      223     0.00     0.00  ga_access_callback_release_
  0.00   1250.30     0.00      216     0.00     0.00  util_cflush_
  0.00   1250.30     0.00      216     0.00     0.00  util_flush_
  0.00   1250.30     0.00      210     0.00     0.00  checksum_update
  0.00   1250.30     0.00      205     0.00     0.00  qqsort
  0.00   1250.30     0.00      197     0.00     0.00  inp_a_
  0.00   1250.30     0.00      189     0.00     0.00  MD5_memset
  0.00   1250.30     0.00      189     0.00     0.00  string_to_fortchar
  0.00   1250.30     0.00      175     0.00     0.00  Decode
  0.00   1250.30     0.00      175     0.00     0.00  MD5Transform
  0.00   1250.30     0.00      161     0.00     0.00  checksum_char_update_
  0.00   1250.30     0.00      155     0.00     0.00  indxL
  0.00   1250.30     0.00      139     0.00     0.00  ga_maxelt_
  0.00   1250.30     0.00      139     0.00     0.00  ga_maxelt_dbl_doit_
  0.00   1250.30     0.00      130     0.00     0.00  pdiff
  0.00   1250.30     0.00      125     0.00     0.00  get_time
  0.00   1250.30     0.00      125     0.00     0.00  hdbm_file_flush
  0.00   1250.30     0.00      125     0.00     0.00  inp_read_
  0.00   1250.30     0.00      125     0.00     0.00  rtdb_put
  0.00   1250.30     0.00      125     0.00     0.00  rtdb_seq_put
  0.00   1250.30     0.00      125     0.00     0.00  rtdb_seq_put_info
  0.00   1250.30     0.00      113     0.00     0.00  inp_f_
  0.00   1250.30     0.00      110     0.00     0.00  nbf_from_ucont_
  0.00   1250.30     0.00      109     0.00     0.00  ga_mat_to_vec_
  0.00   1250.30     0.00      101     0.00     0.00  rtdb_next
  0.00   1250.30     0.00      101     0.00     0.00  rtdb_next_
  0.00   1250.30     0.00      101     0.00     0.00  rtdb_seq_next
  0.00   1250.30     0.00       95     0.00     0.00  reduce_list2
  0.00   1250.30     0.00       91     0.00     0.00  ga_create_atom_blocked_
  0.00   1250.30     0.00       91     0.00     0.00  util_atom_blocked_
  0.00   1250.30     0.00       91     0.00     0.00  util_file_parse_dir_
  0.00   1250.30     0.00       90     0.00     0.00  rtdb_put_
  0.00   1250.30     0.00       84     0.00     0.00  ga_screen_
  0.00   1250.30     0.00       84     0.00     0.00  ga_screenb_
  0.00   1250.30     0.00       84     0.00     0.00  inp_n_field_
  0.00   1250.30     0.00       78     0.00     0.00  ifill_
  0.00   1250.30     0.00       76     0.00     0.00  bq_on_
  0.00   1250.30     0.00       76     0.00     0.00  geom_extbq_on_
  0.00   1250.30     0.00       70     0.00     0.00  bgj_get_scf_method_
  0.00   1250.30     0.00       70     0.00     0.00  bgj_have_xc_
  0.00   1250.30     0.00       64     0.00     0.00  inp_set_field_
  0.00   1250.30     0.00       61     0.00     0.00  util_getenv_
  0.00   1250.30     0.00       60     0.00     0.00  geom_calc_angle_
  0.00   1250.30     0.00       58     0.00     0.00  ecce_print1_
  0.00   1250.30     0.00       58     0.00     0.00  util_wallsec_
  0.00   1250.30     0.00       57     0.00     0.00  bas_numcont_
  0.00   1250.30     0.00       56     0.00     0.00  util_print_centered_
  0.00   1250.30     0.00       54     0.00     0.00  orderd_
  0.00   1250.30     0.00       50     0.00     0.00  pgexit
  0.00   1250.30     0.00       49     0.00     0.00  checksum_update_
  0.00   1250.30     0.00       49     0.00     0.00  int_1e_ga_
  0.00   1250.30     0.00       49     0.00     0.00  int_1e_oldga0_
  0.00   1250.30     0.00       48     0.00     0.00  ga_pcg_minim_
  0.00   1250.30     0.00       46     0.00     0.00  bgj_get_rtdb_handle_
  0.00   1250.30     0.00       46     0.00     0.00  fock_pair_sort_
  0.00   1250.30     0.00       45     0.00     0.00  util_file_prefix_
  0.00   1250.30     0.00       44     0.00     0.00  rtdb_cget_
  0.00   1250.30     0.00       44     0.00     0.00  util_file_name_
  0.00   1250.30     0.00       40     0.00     0.00  fil_mapvec_
  0.00   1250.30     0.00       40     0.00     0.00  geom_mass_get_
  0.00   1250.30     0.00       39     0.00     0.00  denmad_
  0.00   1250.30     0.00       38     0.00     0.00  do_riscf_
  0.00   1250.30     0.00       38     0.00     0.00  jacod_
  0.00   1250.30     0.00       38     0.00     0.00  riscf_dovecs_
  0.00   1250.30     0.00       38     0.00     0.00  trafsd_
  0.00   1250.30     0.00       36     0.00     0.00  tramad_
  0.00   1250.30     0.00       35     0.00     0.00  rtdb_cput_
  0.00   1250.30     0.00       35     0.00     0.00  rtdb_parallel
  0.00   1250.30     0.00       35     0.00     0.00  rtdb_parallel_
  0.00   1250.30     0.00       34     0.00     0.00  ga_get_diagonal_
  0.00   1250.30     0.00       34     0.00     0.00  ga_lmdotb_
  0.00   1250.30     0.00       34     0.00     0.00  ga_local_mdot_
  0.00   1250.30     0.00       32     0.00     0.00  inp_cur_field_
  0.00   1250.30     0.00       32     0.00     0.00  line_search_
  0.00   1250.30     0.00       32     0.00     0.00  matrix_exp_
  0.00   1250.30     0.00       32     0.00     0.00  rohf_k2cf_
  0.00   1250.30     0.00       32     0.00     0.00  rohf_k2u_
  0.00   1250.30     0.00       31     0.00     0.00  mxinit_
  0.00   1250.30     0.00       28     0.00     0.00  Encode
  0.00   1250.30     0.00       27     0.00     0.00  geom_nuc_rep_energy_
  0.00   1250.30     0.00       27     0.00     0.00  inp_prev_field_
  0.00   1250.30     0.00       26     0.00     0.00  hnd_set_acc_
  0.00   1250.30     0.00       26     0.00     0.00  int_sp_acc_
  0.00   1250.30     0.00       26     0.00     0.00  setup_thresh_
  0.00   1250.30     0.00       26     0.00     0.00  sym_number_ops_
  0.00   1250.30     0.00       26     0.00     0.00  texas_set_accy_
  0.00   1250.30     0.00       25     0.00     0.00  int_acc_std_
  0.00   1250.30     0.00       25     0.00     0.00  mapchk_
  0.00   1250.30     0.00       24     0.00     0.00  geom_ncent_unique_
  0.00   1250.30     0.00       23     0.00     0.04  ao_fock_2e_
  0.00   1250.30     0.00       23     0.00     0.04  ao_replicated_
  0.00   1250.30     0.00       23     0.00     0.00  bas_geom_
  0.00   1250.30     0.00       23     0.00     0.00  bgj_have_j_fit_
  0.00   1250.30     0.00       23     0.00     0.04  fock_2e_
  0.00   1250.30     0.00       23     0.00     0.00  fock_init_rep_cmul_
  0.00   1250.30     0.00       23     0.00     0.00  int2e_test_mem_
  0.00   1250.30     0.00       23     0.00     0.00  linux_cputime_
  0.00   1250.30     0.00       23     0.00     0.00  scf_fock_reorder_
  0.00   1250.30     0.00       23     0.00     0.00  schwarz_max_
  0.00   1250.30     0.00       23     0.00     0.00  util_cpusec_
  0.00   1250.30     0.00       22     0.00     0.00  delete_file_entry
  0.00   1250.30     0.00       21     0.00     0.00  rohf_fock2grad_
  0.00   1250.30     0.00       21     0.00     0.00  rohf_get_grad_
  0.00   1250.30     0.00       20     0.00     0.00  creded_
  0.00   1250.30     0.00       20     0.00     0.00  ga_vec_to_mat_
  0.00   1250.30     0.00       20     0.00     0.00  geom_atn_to_default_mass_
  0.00   1250.30     0.00       20     0.00     0.00  get_atom_block_
  0.00   1250.30     0.00       20     0.00     0.00  pdfded_
  0.00   1250.30     0.00       20     0.00     0.00  reduce_maps
  0.00   1250.30     0.00       20     0.00     0.00  rohf_dens_
  0.00   1250.30     0.00       20     0.00     0.00  two_index_transf_
  0.00   1250.30     0.00       19     0.00     0.00  file_write_ga_
  0.00   1250.30     0.00       19     0.00     0.00  hf1_
  0.00   1250.30     0.00       19     0.00     0.00  rohf_dumpfock_
  0.00   1250.30     0.00       19     0.00     0.04  rohf_energy_
  0.00   1250.30     0.00       19     0.00     0.04  rohf_fock_
  0.00   1250.30     0.00       19     0.00     0.00  rohf_jkfac_
  0.00   1250.30     0.00       19     0.00     0.04  rohf_step_energy_
  0.00   1250.30     0.00       18     0.00     0.00  cmergd_
  0.00   1250.30     0.00       18     0.00     0.00  densid_
  0.00   1250.30     0.00       18     0.00     0.00  hamild_
  0.00   1250.30     0.00       18     0.00     0.00  tracd_
  0.00   1250.30     0.00       17     0.00     0.00  ga_precond_project_
  0.00   1250.30     0.00       17     0.00     0.00  rohf_hdiag_scale_
  0.00   1250.30     0.00       17     0.00     0.01  rohf_hessv_
  0.00   1250.30     0.00       17     0.00     0.00  rohf_hessv_1e_
  0.00   1250.30     0.00       17     0.00     0.00  rohf_hessv_precond_
  0.00   1250.30     0.00       17     0.00     0.00  rohf_hessv_xx_
  0.00   1250.30     0.00       17     0.00     0.00  rohf_make_shift_
  0.00   1250.30     0.00       15     0.00     0.00  g_exit_
